X,Y,Z,weapon
315.98102,-684.3378,-127.96875,m4a1_silencer
539.27625,-1099.1787,-415.96875,mp9
534.5096,-1076.2129,-415.96875,mp9
993.1678,-338.90344,-127.96875,m4a1_silencer
577.1653,-1343.9562,-415.96875,ak47
1815.1044,-1227.6774,-405.3733,m4a1
1482.2865,-2219.5771,-415.96875,m4a1_silencer
663.2723,-1521.0044,-415.46875,m4a1_silencer
752.31537,-1711.8866,-415.96875,m4a1_silencer
1016.3902,-1856.8641,-415.96875,m4a1_silencer
778.49365,-1691.7529,-415.96875,m4a1_silencer
1476.8303,-2447.9712,-523.1827,ak47
726.6968,-1698.8035,-415.96875,m4a1_silencer
-146.43298,-481.86383,-415.96875,awp
397.99734,-704.2286,-415.96875,ak47
171.87924,-340.43567,-415.96875,m4a1_silencer
495.38278,390.6643,-383.86743,awp
463.96835,-1629.735,-415.96875,ak47
1204.6753,-629.5034,-415.96875,awp
389.14343,-878.2155,-391.96875,ak47
1287.4452,-1363.7338,-415.96875,awp
932.99634,-909.39307,-415.96875,ak47
20.923552,-1333.9492,-415.96875,awp
2201.9573,-364.30182,-351.96875,m4a1_silencer
638.93976,-1299.4165,-415.96875,m4a1_silencer
799.2442,-2431.5676,-415.96875,m4a1_silencer
1311.8495,-553.2388,-639.96875,fiveseven
433.5042,-976.7544,-391.96875,elite
-119.77118,-633.87976,-415.96875,elite
1112.3993,-1881.2806,-415.96875,usp_silencer
1095.3845,-1900.7372,-415.96875,usp_silencer
448.8644,6.063208,-639.96875,usp_silencer
1202.1248,-2342.7134,-415.96875,m4a1_silencer
802.97485,-2456.9392,-415.96875,mp9
191.16396,-1300.6211,-415.96875,mp9
848.31793,-337.813,-415.96875,ssg08
844.73663,-544.2594,-401.3531,ssg08
291.3851,-1087.3293,-391.96875,mp9
1470.7339,-2439.1956,-519.11835,ak47
1388.7566,-2384.151,-464.4668,ak47
190.31978,-257.97754,-415.46875,mp9
25.392199,-299.99463,-415.96875,mp9
-787.66907,-1183.409,-413.96875,mp9
815.23114,-1563.5367,-415.96875,mp9
1289.3549,-2391.981,-415.96875,mp9
951.20087,-1098.7883,-414.96875,ak47
951.12714,-1098.4888,-414.96875,ak47
866.61145,-1661.94,-415.46875,ak47
761.54785,-1098.2748,-415.96875,ak47
296.61826,-478.2578,-127.96875,m4a1
352.03027,-894.4678,-251.46875,ak47
837.25885,-296.73145,-127.96875,awp
253.58603,64.06785,-415.96875,awp
-125.70825,-389.55237,-415.96875,m4a1_silencer
-139.78009,-390.94672,-415.96875,m4a1_silencer
-11.303894,-393.77124,-415.46875,awp
1296.2103,-1270.055,-415.96875,m4a1_silencer
1824.467,-1763.5503,-415.96875,awp
653.48956,-645.16205,-206.96875,ak47
357.76648,-1191.0576,-251.96875,m4a1
520.3645,-785.28265,-399.96875,ak47
711.8763,-1492.5104,-415.46875,m4a1_silencer
941.5226,-1048.6635,-639.96875,ak47
926.77325,-1040.7168,-639.96875,ak47
211.10027,-1333.5183,-775.96875,ak47
323.49643,-1327.1077,-767.46875,ak47
1691.819,-1641.5962,-415.96875,m4a1_silencer
1691.819,-1641.5962,-415.96875,m4a1_silencer
619.96967,-1509.9253,-415.48657,ak47
-75.123474,-1177.3032,-415.46875,awp
150.44164,-1196.3553,-415.96875,awp
376.9414,-1198.882,-251.96875,ak47
452.42258,-1031.07,-391.96875,ak47
-43.336914,-1172.0372,-415.46875,ak47
541.2275,-452.03906,-415.96875,awp
621.73083,-1247.6102,-415.96875,ak47
287.58768,-2248.7668,-415.96875,knife_widowmaker
242.20358,-2200.3484,-415.96875,knife_flip
274.97797,-2297.4675,-415.96875,knife_widowmaker
94.11069,-2212.3513,-415.96875,knife_widowmaker
-285.74683,-1786.4338,-415.96875,knife_butterfly
742.6905,-1631.0188,-415.96875,usp_silencer
1042.3392,-1050.6162,-407.96875,usp_silencer
1334.4666,-401.83447,-127.96875,hkp2000
1158.8871,-1296.7604,-415.96875,usp_silencer
861.686,551.06836,-463.761,usp_silencer
-94.848145,-1051.226,-91.46875,mp9
145.05989,-1505.2671,-32.071655,mp9
945.2868,-1799.2646,-415.96875,famas
945.2868,-1799.2646,-415.96875,famas
945.2868,-1799.2646,-415.96875,famas
1262.8063,-751.53925,-415.96875,aug
1275.1082,-746.3105,-415.96875,aug
1349.8842,-1321.8304,-415.96875,m4a1_silencer
1129.0316,-811.5611,-381.96875,m4a1_silencer
1312.81,-1709.3292,-415.96875,ak47
1487.909,-1843.1925,-227.96875,aug
806.4758,-1370.3881,-415.96875,ak47
140.0635,-800.4629,-95.96875,ak47
692.3568,-1404.5988,-415.96875,ak47
668.2544,-1408.5044,-415.96875,ak47
524.0275,-1068.955,-415.96875,ak47
399.15814,-1121.1761,-391.96875,awp
146.04382,30.059132,-415.96875,ak47
-31.125305,-2097.9402,-415.96875,ak47
1062.5027,-370.9839,-415.96875,ak47
1487.9681,-2237.441,-415.96875,m4a1_silencer
1471.0337,-2347.9688,-415.96875,m4a1_silencer
802.23737,-1634.671,-415.96875,tec9
1175.7874,-1205.1978,-415.96875,awp
1487.9373,-1829.2219,-415.46875,awp
272.97687,-1079.8271,-393.9779,m4a1_silencer
1857.7495,-1741.4474,-415.96875,m4a1_silencer
576.8465,-620.9778,-399.96875,ak47
1165.1306,-1615.3151,-415.96875,m4a1_silencer
686.74664,-521.1562,-414.96875,ak47
319.13297,287.8419,-415.96875,ak47
921.5852,-2.4421387,-415.96875,ak47
-45.0282,-378.39722,-415.46875,ak47
252.83253,-1108.7661,-407.4074,m4a1_silencer
-415.45514,-902.92395,-415.96875,ak47
-151.17773,-383.5852,-415.96875,ak47
-14.720459,-401.318,-415.46875,ak47
-24.36444,-1331.8337,-415.96875,ak47
-176.2024,-1222.1956,-415.96875,ak47
-190.31311,-1122.366,-415.96875,ak47
1137.1656,-1605.9592,-415.96875,ak47
1082.6727,-1566.6064,-415.96875,ak47
584.417,-1616.6827,-415.96875,m4a1_silencer
873.72327,-1629.3196,-415.46875,ak47
1865.4994,-1750.6821,-415.96875,awp
1342.9865,-401.13208,-127.96875,ak47
571.662,-1535.0315,-415.46875,m4a1_silencer
562.63574,-1645.7692,-415.96875,m4a1_silencer
815.5693,-1690.7994,-415.96875,ak47
837.8304,-1653.5712,-415.46875,ak47
437.71893,-1191.9019,-251.96875,ak47
326.19626,322.63535,-415.96875,ak47
686.047,-1754.972,-415.96875,m4a1_silencer
931.36426,-1088.562,-414.96875,awp
1166.4281,-945.9671,-767.96875,ak47
319.77255,-1063.8898,-391.96875,elite
358.1384,-988.1821,-255.96875,usp_silencer
955.8405,-1555.9812,-415.96875,elite
1054.8842,-320.81458,-127.96875,usp_silencer
973.9956,-773.65076,-127.96875,usp_silencer
700.87885,-714.5148,-206.96875,usp_silencer
1056.1542,-385.77332,-127.96875,m4a1_silencer
353.92892,-579.96985,-415.96875,mp9
480.8265,-1346.9193,-415.96875,m4a1_silencer
1095.1731,-334.53015,-127.96875,m4a1_silencer
963.0341,-341.49207,-127.96875,m4a1_silencer
196.32751,-198.14178,-415.96875,mp9
204.43881,-207.37543,-415.96875,mp9
-50.11963,-413.17517,-415.96875,ssg08
1425.8801,-2375.496,-373.96875,mp9
607.79144,-233.96863,-415.96875,ak47
419.4993,-87.300964,-271.96875,mp9
570.02856,-233.66211,-415.96875,ak47
597.6751,-195.91406,-415.96875,ak47
109.242615,-60.694824,-361.9474,mp9
1741.22,-557.8876,-351.96875,ak47
