,feature,importance
10,bombsite_NA,3033.5888671875
9,bombsite_BombsiteB,704.1292114257812
8,bombsite_BombsiteA,626.3235473632812
2,tEquipVal,318.1543273925781
3,tPlayersAlive,285.56292724609375
1,ctEquipVal,264.7073669433594
6,ctHPRemaining,250.18443298339844
4,ctPlayersAlive,232.69683837890625
0,Unnamed: 0,206.9039764404297
5,tHPRemaining,182.302734375
7,bombPlanted,86.6783447265625
